TIME: 03:23:33EPOCHS: 100, K: 1, GENERATOR LOSS: inf, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 6.568, DISCRIMINATOR ACCURACY: 0.515, SHAPE: (9994, 11) 
TIME: 03:23:51EPOCHS: 100, K: 1, GENERATOR LOSS: 3.373, GENERATOR ACCURACY: 0.988, DISCRIMINATOR LOSS: 7.306, DISCRIMINATOR ACCURACY: 0.469, SHAPE: (9994, 11) 
TIME: 03:24:09EPOCHS: 100, K: 1, GENERATOR LOSS: 1.802, GENERATOR ACCURACY: 0.988, DISCRIMINATOR LOSS: 3.365, DISCRIMINATOR ACCURACY: 0.531, SHAPE: (9994, 11) 
TIME: 03:24:28EPOCHS: 100, K: 1, GENERATOR LOSS: 1.647, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 4.761, DISCRIMINATOR ACCURACY: 0.505, SHAPE: (9994, 11) 
TIME: 03:24:45EPOCHS: 100, K: 1, GENERATOR LOSS: 2.052, GENERATOR ACCURACY: 0.882, DISCRIMINATOR LOSS: 0.499, DISCRIMINATOR ACCURACY: 0.770, SHAPE: (28638, 11) 
TIME: 03:24:53EPOCHS: 100, K: 1, GENERATOR LOSS: 1.703, GENERATOR ACCURACY: 0.895, DISCRIMINATOR LOSS: 0.572, DISCRIMINATOR ACCURACY: 0.720, SHAPE: (28638, 11) 
TIME: 03:24:59EPOCHS: 100, K: 1, GENERATOR LOSS: 1.810, GENERATOR ACCURACY: 0.898, DISCRIMINATOR LOSS: 0.505, DISCRIMINATOR ACCURACY: 0.776, SHAPE: (28638, 11) 
TIME: 03:25:05EPOCHS: 100, K: 1, GENERATOR LOSS: 1.775, GENERATOR ACCURACY: 0.900, DISCRIMINATOR LOSS: 0.616, DISCRIMINATOR ACCURACY: 0.748, SHAPE: (28638, 11) 
TIME: 03:25:11EPOCHS: 100, K: 1, GENERATOR LOSS: 1.705, GENERATOR ACCURACY: 0.900, DISCRIMINATOR LOSS: 0.765, DISCRIMINATOR ACCURACY: 0.672, SHAPE: (28638, 11) 
TIME: 03:25:18EPOCHS: 100, K: 1, GENERATOR LOSS: 1.654, GENERATOR ACCURACY: 0.900, DISCRIMINATOR LOSS: 0.733, DISCRIMINATOR ACCURACY: 0.673, SHAPE: (28638, 11) 
TIME: 03:25:24EPOCHS: 100, K: 1, GENERATOR LOSS: 1.803, GENERATOR ACCURACY: 0.900, DISCRIMINATOR LOSS: 0.530, DISCRIMINATOR ACCURACY: 0.744, SHAPE: (28638, 11) 
TIME: 03:25:30EPOCHS: 100, K: 1, GENERATOR LOSS: 1.654, GENERATOR ACCURACY: 0.900, DISCRIMINATOR LOSS: 0.580, DISCRIMINATOR ACCURACY: 0.720, SHAPE: (28638, 11) 
TIME: 03:25:36EPOCHS: 100, K: 1, GENERATOR LOSS: 1.914, GENERATOR ACCURACY: 0.900, DISCRIMINATOR LOSS: 0.489, DISCRIMINATOR ACCURACY: 0.785, SHAPE: (28638, 11) 
TIME: 03:25:42EPOCHS: 100, K: 1, GENERATOR LOSS: 1.822, GENERATOR ACCURACY: 0.900, DISCRIMINATOR LOSS: 0.493, DISCRIMINATOR ACCURACY: 0.771, SHAPE: (28638, 11) 
TIME: 03:25:49EPOCHS: 100, K: 1, GENERATOR LOSS: 1.893, GENERATOR ACCURACY: 0.900, DISCRIMINATOR LOSS: 0.636, DISCRIMINATOR ACCURACY: 0.738, SHAPE: (28638, 11) 
TIME: 03:25:56EPOCHS: 100, K: 1, GENERATOR LOSS: 1.919, GENERATOR ACCURACY: 0.901, DISCRIMINATOR LOSS: 0.511, DISCRIMINATOR ACCURACY: 0.771, SHAPE: (28638, 11) 
TIME: 03:26:02EPOCHS: 100, K: 1, GENERATOR LOSS: 1.764, GENERATOR ACCURACY: 0.901, DISCRIMINATOR LOSS: 0.636, DISCRIMINATOR ACCURACY: 0.692, SHAPE: (28638, 11) 
TIME: 03:26:08EPOCHS: 100, K: 1, GENERATOR LOSS: 1.645, GENERATOR ACCURACY: 0.900, DISCRIMINATOR LOSS: 0.605, DISCRIMINATOR ACCURACY: 0.694, SHAPE: (28638, 11) 
TIME: 03:26:15EPOCHS: 100, K: 1, GENERATOR LOSS: 1.496, GENERATOR ACCURACY: 0.901, DISCRIMINATOR LOSS: 0.730, DISCRIMINATOR ACCURACY: 0.646, SHAPE: (28638, 11) 
TIME: 03:26:21EPOCHS: 100, K: 1, GENERATOR LOSS: 1.448, GENERATOR ACCURACY: 0.900, DISCRIMINATOR LOSS: 0.982, DISCRIMINATOR ACCURACY: 0.589, SHAPE: (28638, 11) 
TIME: 03:26:28EPOCHS: 100, K: 1, GENERATOR LOSS: 1.752, GENERATOR ACCURACY: 0.900, DISCRIMINATOR LOSS: 0.571, DISCRIMINATOR ACCURACY: 0.713, SHAPE: (28638, 11) 
TIME: 03:26:34EPOCHS: 100, K: 1, GENERATOR LOSS: 1.741, GENERATOR ACCURACY: 0.900, DISCRIMINATOR LOSS: 0.504, DISCRIMINATOR ACCURACY: 0.762, SHAPE: (28638, 11) 
TIME: 03:26:40EPOCHS: 100, K: 1, GENERATOR LOSS: 1.759, GENERATOR ACCURACY: 0.901, DISCRIMINATOR LOSS: 0.587, DISCRIMINATOR ACCURACY: 0.718, SHAPE: (28638, 11) 
TIME: 03:26:46EPOCHS: 100, K: 1, GENERATOR LOSS: 1.817, GENERATOR ACCURACY: 0.901, DISCRIMINATOR LOSS: 0.525, DISCRIMINATOR ACCURACY: 0.760, SHAPE: (28638, 11) 
