Event,Model,Epochs,K,Dataset,Test,Metric,Value
trtr,GANBLR,50,1,superstore,random_forest,accuracy,0.9634817408704353
trtr,GANBLR,50,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,50,1,superstore,adaboost,accuracy,0.9004502251125562
tstr,GANBLR,50,1,superstore,random_forest,accuracy,0.9629814907453726
tstr,GANBLR,50,1,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,50,1,superstore,sdv_eval,quality_score,0.4349958460004502
trtr,GANBLR,50,1,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,50,1,superstore,random_forest,accuracy,0.9644822411205602
trtr,GANBLR,50,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,50,1,superstore,adaboost,accuracy,0.4382191095547774
tstr,GANBLR,50,1,superstore,random_forest,accuracy,0.9559779889944972
tstr,GANBLR,50,1,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,50,1,superstore,sdv_eval,quality_score,0.4342374364016201
trtr,CTGAN,50,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,CTGAN,50,0,superstore,random_forest,accuracy,0.9644822411205602
trtr,CTGAN,50,0,superstore,svm,accuracy,0.928464232116058
tstr,CTGAN,50,0,superstore,adaboost,accuracy,0.9129564782391196
tstr,CTGAN,50,0,superstore,random_forest,accuracy,0.927463731865933
tstr,CTGAN,50,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,CTGAN,50,0,superstore,sdv_eval,quality_score,0.7287054050612185
trtr,CTGAN,50,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,CTGAN,50,0,superstore,random_forest,accuracy,0.9639819909954978
trtr,CTGAN,50,0,superstore,svm,accuracy,0.928464232116058
tstr,CTGAN,50,0,superstore,adaboost,accuracy,0.8454227113556778
tstr,CTGAN,50,0,superstore,random_forest,accuracy,0.9279639819909956
tstr,CTGAN,50,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,CTGAN,50,0,superstore,sdv_eval,quality_score,0.7518219264892269
trtr,CTGAN,50,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,CTGAN,50,0,superstore,random_forest,accuracy,0.9649824912456229
trtr,CTGAN,50,0,superstore,svm,accuracy,0.928464232116058
tstr,CTGAN,50,0,superstore,adaboost,accuracy,0.926463231615808
tstr,CTGAN,50,0,superstore,random_forest,accuracy,0.928464232116058
