Event,Model,Epochs,K,Dataset,Test,Metric,Value
trtr,GANBLR,150,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,150,1,credit_risk,adaboost,accuracy,0.6387918994413407
tstr,GANBLR,150,1,credit_risk,random_forest,accuracy,0.8299581005586593
tstr,GANBLR,150,1,credit_risk,svm,accuracy,0.7896298882681564
sdv_eval,GANBLR,150,1,credit_risk,sdv_eval,quality_score,0.3351947349040372
trtr,GANBLR,150,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,150,1,credit_risk,random_forest,accuracy,0.9146298882681564
trtr,GANBLR,150,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,150,1,credit_risk,adaboost,accuracy,0.6953561452513967
tstr,GANBLR,150,1,credit_risk,random_forest,accuracy,0.8336243016759777
tstr,GANBLR,150,1,credit_risk,svm,accuracy,0.7676326815642458
sdv_eval,GANBLR,150,1,credit_risk,sdv_eval,quality_score,0.3377587418285092
trtr,CTGAN,150,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,CTGAN,150,0,credit_risk,random_forest,accuracy,0.9162011173184358
trtr,CTGAN,150,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,CTGAN,150,0,credit_risk,adaboost,accuracy,0.8561452513966481
tstr,CTGAN,150,0,credit_risk,random_forest,accuracy,0.839036312849162
tstr,CTGAN,150,0,credit_risk,svm,accuracy,0.8538756983240223
sdv_eval,CTGAN,150,0,credit_risk,sdv_eval,quality_score,0.8210987149940638
trtr,CTGAN,150,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,CTGAN,150,0,credit_risk,random_forest,accuracy,0.9162011173184358
trtr,CTGAN,150,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,CTGAN,150,0,credit_risk,adaboost,accuracy,0.8585893854748603
tstr,CTGAN,150,0,credit_risk,random_forest,accuracy,0.8386871508379888
tstr,CTGAN,150,0,credit_risk,svm,accuracy,0.8434008379888268
sdv_eval,CTGAN,150,0,credit_risk,sdv_eval,quality_score,0.8557033513428862
trtr,CTGAN,150,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,CTGAN,150,0,credit_risk,random_forest,accuracy,0.9144553072625698
trtr,CTGAN,150,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,CTGAN,150,0,credit_risk,adaboost,accuracy,0.8512569832402235
tstr,CTGAN,150,0,credit_risk,random_forest,accuracy,0.8327513966480447
tstr,CTGAN,150,0,credit_risk,svm,accuracy,0.8533519553072626
sdv_eval,CTGAN,150,0,credit_risk,sdv_eval,quality_score,0.8385540667517413
